participant,group,mean_rt_ms,accuracy,n_trials,modality,accuracy_pct,iqr_outlier
1,Single,2331.349806667034,1.0,15,Lab,100.0,True
2,Single,1865.4243666667753,1.0,15,Lab,100.0,False
3,Single,1762.399106666756,1.0,15,Lab,100.0,False
4,Single,1452.9313866655382,1.0,15,Lab,100.0,False
5,Single,1540.2571933329455,1.0,15,Lab,100.0,False
6,Single,1602.0891066684271,1.0,15,Lab,100.0,False
7,Single,1510.7701933333224,1.0,15,Lab,100.0,False
8,Single,1547.0682333333418,1.0,15,Lab,100.0,False
9,Single,1363.1837733333366,1.0,15,Lab,100.0,False
10,Single,1429.9736733333702,1.0,15,Lab,100.0,False
11,Single,1431.5763866666505,1.0,15,Lab,100.0,False
12,Single,1507.9863200000013,1.0,15,Lab,100.0,False
13,Single,1391.2566666665953,1.0,15,Lab,100.0,False
14,Single,1640.1328133333323,1.0,15,Lab,100.0,False
15,Single,1338.1374399999988,1.0,15,Lab,100.0,False
16,Single,1766.1829400000138,1.0,15,Lab,100.0,False
17,Single,1160.4643666668078,1.0,15,Lab,100.0,False
18,Single,1542.302046666373,1.0,15,Lab,100.0,False
19,Single,1649.9751800006682,1.0,15,Lab,100.0,False
20,Single,1492.9917733335362,1.0,15,Lab,100.0,False
21,Single,1547.1590666663058,1.0,15,Lab,100.0,False
22,Multiple,1330.5991133333387,1.0,15,Lab,100.0,False
23,Multiple,1498.6478333333405,1.0,15,Lab,100.0,False
24,Multiple,1997.2415266666455,1.0,15,Lab,100.0,False
25,Multiple,1338.801493333449,1.0,15,Lab,100.0,False
26,Multiple,1780.876733333207,1.0,15,Lab,100.0,False
27,Multiple,1373.8547133333327,1.0,15,Lab,100.0,False
28,Multiple,1609.0146533333307,1.0,15,Lab,100.0,False
29,Multiple,1268.6897666666785,1.0,15,Lab,100.0,False
30,Multiple,2103.0041999999717,1.0,15,Lab,100.0,False
31,Multiple,1497.8926600000098,1.0,15,Lab,100.0,False
32,Multiple,1556.2989399999992,1.0,15,Lab,100.0,False
33,Multiple,1430.4395933333203,1.0,15,Lab,100.0,False
34,Multiple,1463.7053466666355,1.0,15,Lab,100.0,False
35,Multiple,1760.4853533333273,1.0,15,Lab,100.0,False
36,Multiple,1542.5416466666813,1.0,15,Lab,100.0,False
37,Multiple,2128.5374466666476,1.0,15,Lab,100.0,False
1,Single,3467.9,100.0,10,Game,100.0,False
2,Single,2777.5,100.0,10,Game,100.0,False
3,Single,1772.1,100.0,10,Game,100.0,False
4,Single,2303.4,100.0,10,Game,100.0,False
5,Single,2647.5,100.0,10,Game,100.0,False
6,Single,2595.409090909091,100.0,22,Game,100.0,False
7,Single,2196.6,100.0,10,Game,100.0,False
8,Single,2461.7,100.0,10,Game,100.0,False
9,Single,2042.1,100.0,10,Game,100.0,False
10,Single,1941.7,100.0,10,Game,100.0,False
11,Single,1800.8,100.0,10,Game,100.0,False
12,Single,2752.5,100.0,10,Game,100.0,False
13,Single,1802.2,100.0,10,Game,100.0,False
14,Single,2188.9,100.0,10,Game,100.0,False
15,Single,2022.6,100.0,10,Game,100.0,False
16,Single,1992.0,100.0,10,Game,100.0,False
17,Single,1907.5,100.0,10,Game,100.0,False
18,Single,2346.4,100.0,10,Game,100.0,False
19,Single,2426.7,100.0,10,Game,100.0,False
20,Single,2417.4,100.0,10,Game,100.0,False
21,Single,2956.6,100.0,10,Game,100.0,False
22,Multiple,1531.3333333333333,98.21416666666666,12,Game,98.21416666666666,False
23,Multiple,1969.4166666666667,98.21416666666666,12,Game,98.21416666666666,False
24,Multiple,3120.4166666666665,88.21416666666666,12,Game,88.21416666666666,False
25,Multiple,1176.7,100.0,10,Game,100.0,False
26,Multiple,2160.7272727272725,98.05181818181818,11,Game,98.05181818181818,False
27,Multiple,2547.7272727272725,98.70181818181818,11,Game,98.70181818181818,False
28,Multiple,1704.090909090909,98.7009090909091,11,Game,98.7009090909091,False
29,Multiple,1746.090909090909,98.05181818181818,11,Game,98.05181818181818,False
30,Multiple,1400.8,100.0,10,Game,100.0,False
31,Multiple,1490.0,98.70181818181818,11,Game,98.70181818181818,False
32,Multiple,1700.0833333333333,98.11500000000001,12,Game,98.11500000000001,False
33,Multiple,1692.1818181818182,98.05181818181818,11,Game,98.05181818181818,False
34,Multiple,2219.3,100.0,10,Game,100.0,False
35,Multiple,1738.1818181818182,98.05181818181818,11,Game,98.05181818181818,False
36,Multiple,2218.8333333333335,100.0,12,Game,100.0,False
37,Multiple,1138.5,100.0,10,Game,100.0,False
